ClipNumber,Speaker,Recipient,RecipientType,element_id,sentence_id,ColumnID,Text,Segment,WC,Clout
1,ShiiAnn,Camera,Camera,1,1,Dialogue,"Well, last night was really emotional.",1,6,40.06
1,ShiiAnn,Camera,Camera,1,2,Dialogue,"Um, I got really choked up when they voted Kathy out.",1,11,40.06
1,ShiiAnn,Camera,Camera,1,3,Dialogue,"The smug, horrible Chaperan superior tribe pagonging all of us Mogo Mogo members, you know basically voting one after another out.",1,21,99
1,ShiiAnn,Camera,Camera,1,4,Dialogue,"I knew Kathy was going, and I just got really emotional because she was my rock out here.",1,18,2.75
1,ShiiAnn,Camera,Camera,1,5,Dialogue,And she was my one true friend.,1,7,97.11
1,ShiiAnn,Camera,Camera,1,6,Dialogue,"And now that she's gone, I don't have anyone here.",1,10,40.06
1,ShiiAnn,Camera,Camera,1,7,Dialogue,I've got no one.,1,4,1
1,ShiiAnn,Rob,One Person,2,1,Dialogue,I know I'm slated next to go.,1,7,1
1,Rob,ShiiAnn,One Person,3,1,Dialogue,Mh-hmm.,1,1,40.06
1,ShiiAnn,Rob,One Person,4,1,Dialogue,And you know I have to play the game was hard as I can before I go.,1,17,12.77
1,ShiiAnn,Rob,One Person,4,2,Dialogue,"So, I'm just asking you straight up, you know, are you going to keep up with your original six, or are you going to be willing to look at other possibilities.",1,31,99
1,Rob,ShiiAnn,One Person,5,1,Dialogue,"Yeah like honestly, I'm going to stay with my plan.",1,10,1
1,ShiiAnn,Rob,One Person,6,1,Dialogue,"That's cool, you got to play your last card.",1,9,99
1,Rob,ShiiAnn,One Person,7,1,Dialogue,Win immunity.,1,2,40.06
1,ShiiAnn,Rob,One Person,8,1,Dialogue,I'm going to try to win immunity.,1,7,1
1,ShiiAnn,Rob,One Person,8,2,Dialogue,I will.,1,2,1
1,Rob,ShiiAnn,One Person,9,1,Dialogue,"You've got to beat me, though, cause I need it just as much as you.",1,15,77.41
1,Rob,ShiiAnn,One Person,9,2,Dialogue,"I know I do, you know?",1,6,40.06
1,ShiiAnn,Rob,One Person,10,1,Dialogue,I know you do.,1,4,99
1,ShiiAnn,Camera,Camera,11,1,Dialogue,I'm extremely vulnerable right now and chances of me making it to the final two are slim.,1,17,2.18
1,ShiiAnn,Camera,Camera,11,2,Dialogue,"So, at this point, my best chances is to play as hard as I can, call everyone on their game and stir it up before I leave.",1,27,20.91
1,ShiiAnn,Rob,One Person,12,1,Dialogue,"If you make it to the final two, I'll be shocked.",1,11,40.06
1,Rob,ShiiAnn,One Person,13,1,Dialogue,I know.,1,2,1
1,ShiiAnn,Rob,One Person,14,1,Dialogue,"With your strategy, current strategy.",1,5,99
1,ShiiAnn,Rob,One Person,14,2,Dialogue,"And I hope you do well, but, you know.",1,9,99
1,ShiiAnn,Rob,One Person,14,3,Dialogue,I'm wishing myself luck in the next immunity challenge.,1,9,1
1,Rob,Tribe,Group,15,1,Dialogue,She tried telling me what my strategy should be.,1,9,2.75
1,Alicia,Rob,One Person,16,1,Dialogue,Right.,1,1,40.06
1,Rob,Tribe,Group,17,1,Dialogue,"You need to watch out for this person, you need to watch out for this one.",1,16,99
1,Alicia,Rob,One Person,18,1,Dialogue,Here we go.,1,3,99
1,Rob,Tribe,Group,19,1,Dialogue,She's doing that.,1,3,99
1,Rob,Tribe,Group,19,2,Dialogue,Just with patient and listened to her.,1,7,97.11
1,Rob,Tribe,Group,19,3,Dialogue,"I was like ""all right, thanks for the info, ShiiAnn.""",1,10,3.95
1,Rob,Tribe,Group,19,4,Dialogue,"Just collectively as a group, we got to make sure she don't win immunity.",1,14,99
1,Rupert,Rob,One Person,20,1,Dialogue,"Hell yeah, that's the whole goal.",1,6,1
1,Rob,Tribe,Group,21,1,Dialogue,That's it.,1,2,40.06
1,Rob,Amber,One Person,22,1,Dialogue,Can it rain any more here?,1,6,40.06
1,Rob,Amber,One Person,22,2,Dialogue,"Look, there's a bump on it.",1,6,40.06
1,Amber,Rob,One Person,23,1,Dialogue,Oh yeah.,1,2,40.06
1,ShiiAnn,Tribe,Group,24,1,Dialogue,"Wow, it's a mask.",1,4,40.06
1,Amber,Tribe,Group,25,1,Dialogue,"It says ""a no-lose situation, this ones not a race.",1,10,1
1,Amber,Tribe,Group,25,2,Dialogue,Is everyone a winner?,1,4,99
1,Amber,Tribe,Group,25,3,Dialogue,Try not to lose face.,1,5,1
1,Amber,Tribe,Group,25,4,Dialogue,In touch with your own feelings?,1,6,99
1,Amber,Tribe,Group,25,5,Dialogue,What do your tribe mates think?,1,6,99
1,Amber,Tribe,Group,25,6,Dialogue,"If you're the last one standing, you'll decide what they eat and drink.""",1,13,99
1,ShiiAnn,Tribe,Group,26,1,Dialogue,So maybe you get to choose whether or not you want to share food?,1,14,40.06
1,Alicia,Tribe,Group,27,1,Dialogue,So maybe you choose what everybody eats?,1,7,99
1,Rupert,Tribe,Group,28,1,Dialogue,I want everybody to eat and drink.,1,7,40.06
1,Alicia,Camera,Camera,29,1,Dialogue,The rain doesn't let up.,1,5,1
1,Alicia,Camera,Camera,29,2,Dialogue,We can't fish in these conditions.,1,6,40.06
1,Alicia,Camera,Camera,29,3,Dialogue,We can't cook in these conditions.,1,6,40.06
1,Alicia,Camera,Camera,29,4,Dialogue,So we are all hoping we're playing for food.,1,9,99
1,Rupert,Tribe,Group,30,1,Dialogue,"Try not to lose face, is maybe three chops and your face is smashed and you're out.",1,17,93.56
1,Tom,Tribe,Group,31,1,Dialogue,I'm hoping food or something but I'm really looking forward to it because it's just a miserable day.,1,18,1
1,Tom,Tribe,Group,31,2,Dialogue,"ooga, ga, ga, ooga, go, ga.",1,6,40.06
1,Tom,Tribe,Group,31,3,Dialogue,"hey- a, ho-a, ha.",1,4,40.06
1,Rob,Tom,One Person,32,1,Dialogue,Dumb ass.,1,2,1
1,Probst,Tribe,Group,33,1,Dialogue,Rain ponchos coming in handy.,1,5,40.06
1,Jenna,Tribe,Group,34,1,Dialogue,Amber and I are the same person just slightly different hair.,1,11,1
1,Alicia,Tribe,Group,35,1,Dialogue,Look at me.,1,3,1
1,ShiiAnn,Tribe,Group,36,1,Dialogue,I have a very strange expression on our faces.,1,9,92.24
1,Probst,Tribe,Group,37,1,Dialogue,"All right, let's get to the first part of today's reward challenge.",1,12,84.23
1,Probst,Tribe,Group,37,2,Dialogue,I'm gonna hand each of you a questionnaire about your fellow tribe mates.,1,13,99
1,Probst,Tribe,Group,37,3,Dialogue,The idea here is to find out what you really think about each other.,1,14,79.51
1,Probst,Tribe,Group,37,4,Dialogue,So answer honestly.,1,3,40.06
1,Probst,Tribe,Group,37,5,Dialogue,Don't discuss your answers with anybody.,1,6,99
1,Probst,Tribe,Group,37,6,Dialogue,Make sense?,1,2,40.06
1,Probst,Tribe,Group,37,7,Dialogue,"All right, give you a couple minutes to do this.",1,10,99
1,Probst,Tribe,Group,37,8,Dialogue,"Find a little spot, step away from each other.",1,9,2.75
1,Probst,Tribe,Group,37,9,Dialogue,All right guys.,1,3,99
1,Probst,Tribe,Group,37,10,Dialogue,The results have been tallied.,1,5,40.06
1,Probst,Tribe,Group,37,11,Dialogue,"I'm going to ask you the same exact questions again, only this time your answers should be based on how you think the majority of the tribe answered.",1,28,99
1,Probst,Tribe,Group,37,12,Dialogue,"Every time your answer matches what the tribe said, you get to make one chop on a tribe mate's row.",1,20,99
1,Probst,Tribe,Group,37,13,Dialogue,Three chops release a battering ram and you're out of the game.,1,12,98.75
1,Probst,Tribe,Group,37,14,Dialogue,Last person left standing wins reward.,1,6,98.75
1,Probst,Tribe,Group,37,15,Dialogue,The reward is food.,1,4,40.06
1,Probst,Tribe,Group,37,16,Dialogue,"However, all of you will be picked up by boat and taken to a local Panamanian restaurant.",1,17,73.71
1,Probst,Tribe,Group,37,17,Dialogue,On the menu are seven items.,1,6,40.06
1,Amber,Tribe,Group,38,1,Dialogue,Wow.,1,1,40.06
1,Probst,Tribe,Group,39,1,Dialogue,"Each item increases in value and taste, everything from a bowl of rice and a glass of water from your own camp to a full-on steak dinner with all the fixings.",1,31,76.43
1,Probst,Tribe,Group,39,2,Dialogue,The winner will be in charge of that menu.,1,9,40.06
1,Amber,Tribe,Group,40,1,Dialogue,"Oh, my God!",1,3,1
1,Probst,Tribe,Group,41,1,Dialogue,Here's the rub: You cannot share your meal.,1,8,99
1,Probst,Tribe,Group,41,2,Dialogue,"Somebody will get a whole lot, and somebody is gonna get very little.",1,13,98.04
1,Probst,Tribe,Group,41,3,Dialogue,"All right, let's get started.",1,5,99
1,Probst,Tribe,Group,41,4,Dialogue,First question: who would you trust with your life?,1,9,99
1,Probst,Tribe,Group,41,5,Dialogue,Everybody reveal.,1,2,99
1,Probst,Tribe,Group,41,6,Dialogue,The group thought Rob.,1,4,99
1,Probst,Tribe,Group,41,7,Dialogue,Alicia got it right.,1,4,40.06
1,Probst,Tribe,Group,41,8,Dialogue,Amber got it right.,1,4,40.06
1,Probst,Tribe,Group,41,9,Dialogue,"Rob, you didn't even get it right.",1,7,40.06
1,Probst,Tribe,Group,41,10,Dialogue,Alicia you get the first chop.,1,6,99
1,Probst,Alicia,One Person,42,1,Dialogue,"Alicia, you get the first chop.",1,6,99
1,Alicia,Tribe,Group,43,1,Dialogue,"Oh, ShiiAnn, ShiiAnn.",1,3,40.06
1,ShiiAnn,Tribe,Group,44,1,Dialogue,Surprise.,1,1,40.06
1,Probst,Amber,One Person,45,1,Dialogue,"Amber, you're up.",1,3,99
1,Probst,Amber,One Person,45,2,Dialogue,Who's getting the damage?,1,4,99
1,Amber,Tribe,Group,46,1,Dialogue,I'm going to go for Big Tom since he stole my pot in that one challenge.,1,16,11.66
1,Probst,Tribe,Group,47,1,Dialogue,Now we're going to get catty.,1,6,99
1,Probst,Tribe,Group,47,2,Dialogue,Who does not deserve to be an all-star?,1,8,1.71
1,Probst,Tribe,Group,47,3,Dialogue,Not an easy question to answer in front of each other.,1,11,1
1,Probst,Tribe,Group,47,4,Dialogue,Reveal.,1,1,40.06
1,Probst,Tribe,Group,47,5,Dialogue,It was a tie.,1,4,40.06
1,Probst,Tribe,Group,47,6,Dialogue,ShiiAnn.,1,1,40.06
1,ShiiAnn,Probst,One Person,48,1,Dialogue,Surprise.,1,1,40.06
1,Probst,Tribe,Group,49,1,Dialogue,Alicia.,1,1,40.06
1,Alicia,Probst,One Person,50,1,Dialogue,Nice.,1,1,40.06
1,Probst,Alicia,One Person,51,1,Dialogue,"Hearing that from the rest of the tribe, what's that make you feel?",1,13,98.04
1,Alicia,Probst,One Person,52,1,Dialogue,"Yeah, it's a shot in the heart.",1,7,40.06
1,Alicia,Probst,One Person,52,2,Dialogue,I'll get them all later.,1,5,40.06
1,Probst,Tribe,Group,53,1,Dialogue,"Well, everybody got it right.",1,5,99
1,Probst,Tribe,Group,53,2,Dialogue,Everybody gets a chop.,1,4,99
1,Probst,Tribe,Group,53,3,Dialogue,We'll start on the end and work down.,1,8,99
1,Alicia,Tribe,Group,54,1,Dialogue,"Well, since my own tribe mates think I don't deserve to be here, Rob, you're going first.",1,17,73.71
1,Probst,Tribe,Group,55,1,Dialogue,Rob takes a hit.,1,4,40.06
1,Alicia,Rob,One Person,56,1,Dialogue,How do you like that baby?,1,6,99
1,Probst,Jenna,One Person,57,1,Dialogue,Jenna?,1,1,40.06
1,Jenna,Tribe,Group,58,1,Dialogue,I'm going to go with Big Tom.,1,7,1
1,Probst,Tribe,Group,59,1,Dialogue,Big Tom takes his second hit.,1,6,98.75
1,Probst,Tribe,Group,59,2,Dialogue,One hit away from being out of the game.,1,9,40.06
1,Probst,Tribe,Group,59,3,Dialogue,ShiiAnn.,1,1,40.06
1,Probst,ShiiAnn,One Person,60,1,Dialogue,ShiiAnn.,1,1,40.06
1,ShiiAnn,Tribe,Group,61,1,Dialogue,Hey Alicia I got to pay you back.,1,8,94.84
1,Alicia,ShiiAnn,One Person,62,1,Dialogue,All right.,1,2,40.06
1,Probst,Amber,One Person,63,1,Dialogue,Amber.,1,1,40.06
1,Amber,Tribe,Group,64,1,Dialogue,I'll go with Jenna.,1,4,1
1,Probst,Tribe,Group,65,1,Dialogue,Jenna takes her first hit.,1,5,99
1,Probst,Rupert,One Person,66,1,Dialogue,Rupert.,1,1,40.06
1,Rupert,Tribe,Group,67,1,Dialogue,I'm sorry ShiiAnn.,1,3,1
1,Probst,Tribe,Group,68,1,Dialogue,ShiiAnn and Big Tom one hit away from being out of the game.,1,13,40.06
2,Probst,Tom,One Person,69,1,Dialogue,Big Tom.,1,2,40.06
2,Tom,Jenna,One Person,70,1,Dialogue,"Jenna, I'll just pay you a favor.",1,7,97.11
2,Tom,Jenna,One Person,70,2,Dialogue,"Right back to you, baby.",1,5,99
2,Probst,Tribe,Group,71,1,Dialogue,Jenna takes her second hit.,1,5,99
2,Probst,Rob,One Person,72,1,Dialogue,"Boston Rob, you could put somebody out of the game if you wanted.",1,13,99
2,ShiiAnn,Rob,One Person,73,1,Dialogue,Rupert hasn't gotten hit yet.,1,5,1
2,Probst,Tribe,Group,74,1,Dialogue,Big Tom is our first casualty!,1,6,99
2,Alicia,Tribe,Group,75,1,Dialogue,That's rotten.,1,2,40.06
2,Probst,Tom,One Person,76,1,Dialogue,"Have a seat on the bench, Big Tom.",1,8,40.06
2,Probst,Tom,One Person,76,2,Dialogue,You're out of the game.,1,5,99
2,Probst,Tribe,Group,77,1,Dialogue,"Next question: ""Who uses sex appeal as a weapon?""",1,9,92.24
2,Probst,Tribe,Group,77,2,Dialogue,Nobody even hesitating on this one; everybody's flipping quickly.,1,9,40.06
2,Probst,Tribe,Group,77,3,Dialogue,Reveal.,1,1,40.06
2,Probst,Tribe,Group,77,4,Dialogue,Everybody says Amber including Amber.,1,5,99
2,Probst,Amber,One Person,78,1,Dialogue,So you fully own up to using sex appeal.,1,9,99
2,Amber,Probst,One Person,79,1,Dialogue,I fully own up to it.,1,6,1
2,Probst,Tribe,Group,80,1,Dialogue,Everybody gets a chop again.,1,5,99
2,Probst,Alicia,,81,1,Dialogue,"Alicia, you're up.",1,3,99
2,Alicia,Amber,One Person,82,1,Dialogue,"Amber, since you're going to use it as a weapon, how about.",1,12,98.75
2,Probst,Tribe,,83,1,Dialogue,Amber going to take her first hit.,1,7,97.11
2,Probst,Jenna,,84,1,Dialogue,Jenna.,1,1,40.06
2,Jenna,Tribe,A Group,85,1,Dialogue,And payback.,1,2,40.06
2,Probst,Tribe,,86,1,Dialogue,Amber takes her second hit.,1,5,99
2,Probst,ShiiAnn,,87,1,Dialogue,"ShiiAnn, you going to put her out?",1,7,99
2,ShiiAnn,Tribe,A Group,88,1,Dialogue,This is hard.,1,3,40.06
2,ShiiAnn,Tribe,A Group,88,2,Dialogue,"Rupert doesn't have one, but",1,5,1
2,ShiiAnn,Jenna,One Person,89,1,Dialogue,"Jenna, I have to take you out just because.",1,9,92.24
2,Probst,Tribe,,90,1,Dialogue,"And with that, Jenna was completely beheaded.",1,7,40.06
2,Probst,Tribe,,90,2,Dialogue,Amber's got some payback.,1,4,40.06
2,Amber,Alicia,One Person,91,1,Dialogue,"Sorry, Alicia.",1,2,40.06
2,Alicia,Amber,One Person,92,1,Dialogue,"Hey, it's all right.",1,4,40.06
2,Probst,Tribe,,93,1,Dialogue,Alicia takes her second hit.,1,5,99
2,Probst,Rupert,,94,1,Dialogue,"Rupert, why are you laughing?",1,5,99
2,Rupert,Probst,A Group,95,1,Dialogue,"ShiiAnn, she's got to stop telling people to hit me.",1,10,89.5
2,Probst,Rupert,,96,1,Dialogue,Uh oh.,1,2,40.06
2,Probst,Tribe,,97,1,Dialogue,ShiiAnn takes it right between the eyes.,1,7,40.06
2,Probst,Rob,,98,1,Dialogue,Boston Rob.,1,2,40.06
2,Rob,Tribe,A Group,99,1,Dialogue,No need in keeping the stragglers around.,1,7,1
2,Alicia,Rob,One Person,100,1,Dialogue,"All right, go ahead.",1,4,40.06
2,Probst,Alicia,,101,1,Dialogue,Bye bye Alicia.,1,3,40.06
2,Probst,Tribe,,102,1,Dialogue,We are down to three.,1,5,99
2,Probst,Tribe,,102,2,Dialogue,Who is under the false assumption that they are smart?,1,10,99
2,Probst,Tribe,,102,3,Dialogue,Reveal.,1,1,40.06
2,Probst,Tribe,,102,4,Dialogue,Amber says Tom.,1,3,40.06
2,Probst,Tribe,,102,5,Dialogue,Rupert says himself.,1,3,99
2,Probst,Tribe,,102,6,Dialogue,Boston Rob says Jenna.,1,4,40.06
2,Probst,Tribe,,102,7,Dialogue,You're all wrong.,1,3,99
2,Probst,Tribe,,102,8,Dialogue,The group thought Alicia was most under the false assumption that she was smart.,1,14,97.11
2,Alicia,Probst,A Group,103,1,Dialogue,"I don't like these people anymore, let me tell you something.",1,11,40.06
2,Probst,Alicia,,104,1,Dialogue,You're taking some hits today.,1,5,99
2,Alicia,Probst,A Group,105,1,Dialogue,I'm taking some hits today that's alright.,1,7,1
2,Probst,Tribe,,106,1,Dialogue,Next question.,1,2,40.06
2,Probst,Tribe,,106,2,Dialogue,Who did the group think was the most honest?,1,9,99
2,Probst,Tribe,,106,3,Dialogue,Reveal.,1,1,40.06
2,Probst,Tribe,,106,4,Dialogue,Amber and Rupert say Rupert.,1,5,40.06
2,Probst,Tribe,,106,5,Dialogue,Rob said himself.,1,3,99
2,Probst,Tribe,,106,6,Dialogue,"Correct answer, Rupert.",1,3,40.06
2,Probst,Tribe,,106,7,Dialogue,Amber and Rupert are right.,1,5,40.06
2,Probst,Amber,,107,1,Dialogue,"Amber, you are up.",1,4,99
2,Probst,Amber,,107,2,Dialogue,You only have two choices.,1,5,99
2,Probst,Amber,,107,3,Dialogue,"Boston Rob has taken one hit, Rupert has taken no hits.",1,11,5.27
2,Jenna,Rob,A Group,108,1,Dialogue,"Sorry, Rob.",1,2,40.06
2,Probst,Tribe,,109,1,Dialogue,Rob down to his last pop.,1,6,98.75
2,Probst,Tribe,,109,2,Dialogue,Rupert could put him out of the game right here.,1,10,89.5
2,Rupert,Probst,A Group,110,1,Dialogue,I have to.,1,3,1
2,Rob,Rupert,One Person,111,1,Dialogue,You could put her out.,1,5,99
2,Rupert,Rob,One Person,112,1,Dialogue,I could but Amber didn't hit me.,1,7,1
2,Probst,Tribe,,113,1,Dialogue,Boston Rob is no more.,1,5,1
2,Probst,Rob,,114,1,Dialogue,"Boston Rob, have a seat.",1,5,40.06
2,Probst,Tribe,,115,1,Dialogue,Here's where we're at.,1,4,99
2,Probst,Rupert,,116,1,Dialogue,"Rupert, you still have three hits left.",1,7,99
2,Probst,Amber,,117,1,Dialogue,"Amber, you only have one.",1,5,99
2,Probst,Amber,,117,2,Dialogue,"If Rupert gets this right, he will obliterate you and win the challenge.",1,13,98.04
2,Probst,Tribe,,118,1,Dialogue,Who never shut's up?,1,4,40.06
2,Probst,Tribe,,118,2,Dialogue,Reveal.,1,1,40.06
2,Probst,Tribe,,118,3,Dialogue,You both say Jenna.,1,4,99
2,Jenna,Tribe,,119,1,Dialogue,Yeah.,1,1,40.06
2,Probst,Tribe,,120,1,Dialogue,You're both right.,1,3,99
2,Probst,Amber,,121,1,Dialogue,"Amber, your hit doesn't really matter.",1,6,40.06
2,Probst,Rupert,,122,1,Dialogue,"Rupert, you get the final honors.",1,6,99
2,Probst,Rupert,,122,2,Dialogue,Take Amber out.,1,3,40.06
2,Alicia,Rupert,One Person,123,1,Dialogue,"Nice job, Rupert.",1,3,40.06
2,Rupert,Tribe,A Group,124,1,Dialogue,"Thank you all, you guys.",1,5,99
2,Probst,Tribe,,125,1,Dialogue,"Rupert, with that, wins reward.",1,5,40.06
2,Probst,Rupert,,126,1,Dialogue,"Rupert, you will be in charge of the menu tonight.",1,10,99
2,Probst,Tribe,,127,1,Dialogue,The boat will come and pick you up.,1,8,99
2,Probst,Tribe,,127,2,Dialogue,You guys can now head back to camp.,1,8,99
2,Rupert,Tribe,A Group,128,1,Dialogue,You guys gave that one to me.,1,7,99
2,Rupert,Tribe,A Group,128,2,Dialogue,I appreciate that one.,1,4,1
2,Rupert,Tribe,A Group,128,3,Dialogue,"Thank you, guys.",1,3,99
2,ShiiAnn,Rupert,One Person,129,1,Dialogue,That was awesome.,1,3,40.06
2,Rob,Camera,,130,1,Dialogue,I think the biggest thing that happened at our reward challenge today was Alicia got all upset again.,1,18,72.07
2,Rob,Camera,,130,2,Dialogue,She was mocked by the tribe as the person least deserving to be an all-star.,1,15,99
2,Rob,Camera,,130,3,Dialogue,"Her ego took a blow, but you know, people say things for a reason, so maybe she needs to take a look at herself.",1,24,99
2,Rob,Tribe,A Group,131,1,Dialogue,I thought they were pretty good.,1,6,40.06
2,Rob,Tribe,A Group,131,2,Dialogue,"The, uh...",1,2,40.06
2,Rob,Tribe,A Group,131,3,Dialogue,"the masks, too.",1,3,40.06
2,Rupert,Tribe,A Group,132,1,Dialogue,I thought the masks were pretty good.,1,7,1
2,Alicia,Camera,,133,1,Dialogue,"You know it's never fun to hear things about yourself that aren't flattering, and then have to...",1,17,73.71
2,Alicia,Camera,,133,2,Dialogue,"the same people that said those things, you're stuck with them.",1,11,99
2,Alicia,Camera,,133,3,Dialogue,That's not fun.,1,3,1
2,Jenna,Tribe,,134,1,Dialogue,It would be nice to get out of camp tonight.,1,10,40.06
2,Jenna,Alicia,One Person,135,1,Dialogue,"Alicia, you okay?",1,3,99
2,Alicia,Jenna,One Person,136,1,Dialogue,"I'm fabulous, baby.",1,3,40.06
2,Jenna,Alicia,One Person,137,1,Dialogue,"Okay, If it helps I'm a big mouth.",1,8,1
2,Alicia,Jenna,One Person,138,1,Dialogue,"Yeah, but did everybody say that you don't deserve to be here and that you definitely think you're smart and you're not.",1,22,99
2,Alicia,Jenna,One Person,138,2,Dialogue,Did people say that about you?,1,6,99
2,Jenna,Alicia,One Person,139,1,Dialogue,Let's say there's only seven.,1,5,99
2,Jenna,Alicia,One Person,139,2,Dialogue,Let's say.,1,2,99
2,Alicia,Jenna,One Person,140,1,Dialogue,"It doesn't matter, dude.",1,4,40.06
2,Alicia,Jenna,One Person,140,2,Dialogue,It's already been said.,1,4,40.06
2,Alicia,Jenna,One Person,140,3,Dialogue,Done.,1,1,40.06
2,Amber,Camera,,141,1,Dialogue,Alicia's very emotional.,1,3,40.06
2,Amber,Camera,,141,2,Dialogue,"And when something upsets her, she becomes a huge grump around the camp.",1,13,98.04
2,Amber,Camera,,141,3,Dialogue,She's just being a big baby about it.,1,8,99
2,Amber,Camera,,141,4,Dialogue,People are observing it.,1,4,99
2,Amber,Camera,,141,5,Dialogue,People are getting annoyed with it.,1,6,98.75
2,Amber,Camera,,141,6,Dialogue,People will vote you out sooner because they don't want to live with it.,1,14,99
2,Alicia,Jenna,One Person,142,1,Dialogue,"Don't, don't, don't, don't.",1,4,1
2,Jenna,Alicia,One Person,143,1,Dialogue,"I know you don't want somebody to talk to you, but I'm a mom, its my job.",1,17,73.71
2,Alicia,Jenna,One Person,144,1,Dialogue,"Yeah, but you know what?",1,5,99
2,Alicia,Jenna,One Person,144,2,Dialogue,"You're not my mom, so it's all good.",1,8,40.06
2,Alicia,Jenna,One Person,145,1,Dialogue,But you're hurt.,1,3,99
2,Jenna,Alicia,One Person,146,1,Dialogue,"Well, you know what?",1,4,99
2,Jenna,Alicia,One Person,146,2,Dialogue,That's just the way it goes.,1,6,40.06
2,Alicia,Camera,,147,1,Dialogue,I don't want anybody hugging me or touching me or trying to ...,1,12,1
2,Alicia,Camera,,147,2,Dialogue,Leave me alone.,1,3,1
2,Alicia,Camera,,147,3,Dialogue,The only person that tried to not give me my space was Jenna.,1,13,1
