"Speaker","ClipNumber","Recipient","recent.similarity"
"Alicia",1,"Alicia",1.0000002
"Alicia",1,"Amber",0.4503857
"Alicia",1,"Jenna",0.5039581
"Alicia",1,"Rob",0.34965456
"Alicia",1,"Rupert",0.552875
"Alicia",1,"ShiiAnn",0.46053484
"Alicia",1,"Tom",0.2077936
"Amber",1,"Alicia",0.4503857
"Amber",1,"Amber",1.0000004
"Amber",1,"Jenna",0.48423475
"Amber",1,"Rob",0.26719558
"Amber",1,"Rupert",0.61114717
"Amber",1,"ShiiAnn",0.25111583
"Amber",1,"Tom",0.28360355
"Jenna",1,"Alicia",0.5039581
"Jenna",1,"Amber",0.48423475
"Jenna",1,"Jenna",1.0000001
"Jenna",1,"Rob",0.10557853
"Jenna",1,"Rupert",0.49804792
"Jenna",1,"ShiiAnn",0.34376356
"Jenna",1,"Tom",0.2384167
"Rob",1,"Alicia",0.34965456
"Rob",1,"Amber",0.26719558
"Rob",1,"Jenna",0.10557853
"Rob",1,"Rob",1
"Rob",1,"Rupert",0.21126232
"Rob",1,"ShiiAnn",0.16068155
"Rob",1,"Tom",0.15957335
"Rupert",1,"Alicia",0.552875
"Rupert",1,"Amber",0.61114717
"Rupert",1,"Jenna",0.49804792
"Rupert",1,"Rob",0.21126232
"Rupert",1,"Rupert",0.99999994
"Rupert",1,"ShiiAnn",0.37203526
"Rupert",1,"Tom",0.2314719
"ShiiAnn",1,"Alicia",0.46053484
"ShiiAnn",1,"Amber",0.25111583
"ShiiAnn",1,"Jenna",0.34376356
"ShiiAnn",1,"Rob",0.16068155
"ShiiAnn",1,"Rupert",0.37203526
"ShiiAnn",1,"ShiiAnn",0.99999976
"ShiiAnn",1,"Tom",0.1872727
"Tom",1,"Alicia",0.2077936
"Tom",1,"Amber",0.28360355
"Tom",1,"Jenna",0.2384167
"Tom",1,"Rob",0.15957335
"Tom",1,"Rupert",0.2314719
"Tom",1,"ShiiAnn",0.1872727
"Tom",1,"Tom",1
"Alicia",2,"Alicia",1
"Alicia",2,"Amber",0.48301935
"Alicia",2,"Jenna",0.3798803
"Alicia",2,"Rob",0.35666144
"Alicia",2,"Rupert",0.16789228
"Alicia",2,"ShiiAnn",0.32340726
"Alicia",2,"Tom",0.2576818
"Amber",2,"Alicia",0.48301935
"Amber",2,"Amber",1.0000004
"Amber",2,"Jenna",0.41240346
"Amber",2,"Rob",0.3485217
"Amber",2,"Rupert",0.17664184
"Amber",2,"ShiiAnn",0.5143144
"Amber",2,"Tom",0.11626175
"Jenna",2,"Alicia",0.3798803
"Jenna",2,"Amber",0.41240346
"Jenna",2,"Jenna",0.9999999
"Jenna",2,"Rob",0.45308465
"Jenna",2,"Rupert",0.37340558
"Jenna",2,"ShiiAnn",0.44751328
"Jenna",2,"Tom",0.400083
"Rob",2,"Alicia",0.35666144
"Rob",2,"Amber",0.3485217
"Rob",2,"Jenna",0.45308465
"Rob",2,"Rob",1
"Rob",2,"Rupert",0.21470822
"Rob",2,"ShiiAnn",0.4634887
"Rob",2,"Tom",0.32766008
"Rupert",2,"Alicia",0.16789228
"Rupert",2,"Amber",0.17664184
"Rupert",2,"Jenna",0.37340558
"Rupert",2,"Rob",0.21470822
"Rupert",2,"Rupert",1
"Rupert",2,"ShiiAnn",0.21465535
"Rupert",2,"Tom",0.30910575
"ShiiAnn",2,"Alicia",0.32340726
"ShiiAnn",2,"Amber",0.5143144
"ShiiAnn",2,"Jenna",0.44751328
"ShiiAnn",2,"Rob",0.4634887
"ShiiAnn",2,"Rupert",0.21465535
"ShiiAnn",2,"ShiiAnn",1
"ShiiAnn",2,"Tom",0.2170642
"Tom",2,"Alicia",0.2576818
"Tom",2,"Amber",0.11626175
"Tom",2,"Jenna",0.400083
"Tom",2,"Rob",0.32766008
"Tom",2,"Rupert",0.30910575
"Tom",2,"ShiiAnn",0.2170642
"Tom",2,"Tom",1.0000007
"Alicia",3,"Alicia",1.0000001
"Alicia",3,"Amber",0.35860553
"Alicia",3,"Jenna",0.37120393
"Alicia",3,"Rob",0.3588369
"Alicia",3,"Rupert",0.35148403
"Alicia",3,"ShiiAnn",0.30532515
"Alicia",3,"Tom",0.37485945
"Amber",3,"Alicia",0.35860553
"Amber",3,"Amber",1.0000001
"Amber",3,"Jenna",0.4294961
"Amber",3,"Rob",0.29281175
"Amber",3,"Rupert",0.45162663
"Amber",3,"ShiiAnn",0.4691356
"Amber",3,"Tom",0.382424
"Jenna",3,"Alicia",0.37120393
"Jenna",3,"Amber",0.4294961
"Jenna",3,"Jenna",1.0000004
"Jenna",3,"Rob",0.27050847
"Jenna",3,"Rupert",0.26886886
"Jenna",3,"ShiiAnn",0.36493385
"Jenna",3,"Tom",0.3613852
"Rob",3,"Alicia",0.3588369
"Rob",3,"Amber",0.29281175
"Rob",3,"Jenna",0.27050847
"Rob",3,"Rob",1.0000001
"Rob",3,"Rupert",0.55857396
"Rob",3,"ShiiAnn",0.3302989
"Rob",3,"Tom",0.38816562
"Rupert",3,"Alicia",0.35148403
"Rupert",3,"Amber",0.45162663
"Rupert",3,"Jenna",0.26886886
"Rupert",3,"Rob",0.55857396
"Rupert",3,"Rupert",0.9999999
"Rupert",3,"ShiiAnn",0.39008415
"Rupert",3,"Tom",0.43186218
"ShiiAnn",3,"Alicia",0.30532515
"ShiiAnn",3,"Amber",0.4691356
"ShiiAnn",3,"Jenna",0.36493385
"ShiiAnn",3,"Rob",0.3302989
"ShiiAnn",3,"Rupert",0.39008415
"ShiiAnn",3,"ShiiAnn",1.0000001
"ShiiAnn",3,"Tom",0.2813514
"Tom",3,"Alicia",0.37485945
"Tom",3,"Amber",0.382424
"Tom",3,"Jenna",0.3613852
"Tom",3,"Rob",0.38816562
"Tom",3,"Rupert",0.43186218
"Tom",3,"ShiiAnn",0.2813514
"Tom",3,"Tom",1.0000001
"Alicia",4,"Alicia",0.99999994
"Alicia",4,"Amber",0.081375726
"Alicia",4,"Jenna",0.09129964
"Alicia",4,"Rob",0.08540726
"Alicia",4,"Rupert",0.11450412
"Alicia",4,"ShiiAnn",0.13097939
"Alicia",4,"Tom",0.13996263
"Amber",4,"Alicia",0.081375726
"Amber",4,"Amber",1
"Amber",4,"Jenna",0.5541209
"Amber",4,"Rob",0.17643821
"Amber",4,"Rupert",0.5770538
"Amber",4,"ShiiAnn",0.17843138
"Amber",4,"Tom",0.52534556
"Jenna",4,"Alicia",0.09129964
"Jenna",4,"Amber",0.5541209
"Jenna",4,"Jenna",1.0000001
"Jenna",4,"Rob",0.2209474
"Jenna",4,"Rupert",0.54768467
"Jenna",4,"ShiiAnn",0.22425008
"Jenna",4,"Tom",0.53634465
"Rob",4,"Alicia",0.08540726
"Rob",4,"Amber",0.17643821
"Rob",4,"Jenna",0.2209474
"Rob",4,"Rob",1
"Rob",4,"Rupert",0.43023384
"Rob",4,"ShiiAnn",0.17804076
"Rob",4,"Tom",0.26068032
"Rupert",4,"Alicia",0.11450412
"Rupert",4,"Amber",0.5770538
"Rupert",4,"Jenna",0.54768467
"Rupert",4,"Rob",0.43023384
"Rupert",4,"Rupert",1.0000004
"Rupert",4,"ShiiAnn",0.26641184
"Rupert",4,"Tom",0.5672269
"ShiiAnn",4,"Alicia",0.13097939
"ShiiAnn",4,"Amber",0.17843138
"ShiiAnn",4,"Jenna",0.22425008
"ShiiAnn",4,"Rob",0.17804076
"ShiiAnn",4,"Rupert",0.26641184
"ShiiAnn",4,"ShiiAnn",1.0000004
"ShiiAnn",4,"Tom",0.3943529
"Tom",4,"Alicia",0.13996263
"Tom",4,"Amber",0.52534556
"Tom",4,"Jenna",0.53634465
"Tom",4,"Rob",0.26068032
"Tom",4,"Rupert",0.5672269
"Tom",4,"ShiiAnn",0.3943529
"Tom",4,"Tom",1
"Alicia",5,"Alicia",1.0000002
"Alicia",5,"Amber",0.53079426
"Alicia",5,"Jenna",0.2030296
"Alicia",5,"Rob",0.25705862
"Alicia",5,"Rupert",0.28958267
"Alicia",5,"ShiiAnn",0.21831678
"Alicia",5,"Tom",0.0956532
"Amber",5,"Alicia",0.53079426
"Amber",5,"Amber",1
"Amber",5,"Jenna",0.41300654
"Amber",5,"Rob",0.3644238
"Amber",5,"Rupert",0.49796692
"Amber",5,"ShiiAnn",0.24792984
"Amber",5,"Tom",0.09435143
"Jenna",5,"Alicia",0.2030296
"Jenna",5,"Amber",0.41300654
"Jenna",5,"Jenna",0.9999999
"Jenna",5,"Rob",0.2454229
"Jenna",5,"Rupert",0.4961284
"Jenna",5,"ShiiAnn",0.17984018
"Jenna",5,"Tom",0.08198449
"Rob",5,"Alicia",0.25705862
"Rob",5,"Amber",0.3644238
"Rob",5,"Jenna",0.2454229
"Rob",5,"Rob",1
"Rob",5,"Rupert",0.42723477
"Rob",5,"ShiiAnn",0.018194867
"Rob",5,"Tom",0.12560573
"Rupert",5,"Alicia",0.28958267
"Rupert",5,"Amber",0.49796692
"Rupert",5,"Jenna",0.4961284
"Rupert",5,"Rob",0.42723477
"Rupert",5,"Rupert",0.99999994
"Rupert",5,"ShiiAnn",0.24629918
"Rupert",5,"Tom",0.14027348
"ShiiAnn",5,"Alicia",0.21831678
"ShiiAnn",5,"Amber",0.24792984
"ShiiAnn",5,"Jenna",0.17984018
"ShiiAnn",5,"Rob",0.018194867
"ShiiAnn",5,"Rupert",0.24629918
"ShiiAnn",5,"ShiiAnn",1
"ShiiAnn",5,"Tom",0.02825296
"Tom",5,"Alicia",0.0956532
"Tom",5,"Amber",0.09435143
"Tom",5,"Jenna",0.08198449
"Tom",5,"Rob",0.12560573
"Tom",5,"Rupert",0.14027348
"Tom",5,"ShiiAnn",0.02825296
"Tom",5,"Tom",0.99999994
"Alicia",6,"Alicia",0.99999994
"Alicia",6,"Amber",0.106054865
"Alicia",6,"Jenna",0.0793232
"Alicia",6,"Rob",0.075233474
"Alicia",6,"Rupert",0.10292376
"Alicia",6,"ShiiAnn",0.1044106
"Alicia",6,"Tom",0.99999994
"Amber",6,"Alicia",0.106054865
"Amber",6,"Amber",1.0000004
"Amber",6,"Jenna",0.43154147
"Amber",6,"Rob",0.20707624
"Amber",6,"Rupert",0.40737715
"Amber",6,"ShiiAnn",0.38380897
"Amber",6,"Tom",0.106054865
"Jenna",6,"Alicia",0.0793232
"Jenna",6,"Amber",0.43154147
"Jenna",6,"Jenna",1.0000004
"Jenna",6,"Rob",0.29698163
"Jenna",6,"Rupert",0.54687035
"Jenna",6,"ShiiAnn",0.33121172
"Jenna",6,"Tom",0.0793232
"Rob",6,"Alicia",0.075233474
"Rob",6,"Amber",0.20707624
"Rob",6,"Jenna",0.29698163
"Rob",6,"Rob",1.0000002
"Rob",6,"Rupert",0.2398248
"Rob",6,"ShiiAnn",0.13599606
"Rob",6,"Tom",0.075233474
"Rupert",6,"Alicia",0.10292376
"Rupert",6,"Amber",0.40737715
"Rupert",6,"Jenna",0.54687035
"Rupert",6,"Rob",0.2398248
"Rupert",6,"Rupert",0.9999999
"Rupert",6,"ShiiAnn",0.38499153
"Rupert",6,"Tom",0.10292376
"ShiiAnn",6,"Alicia",0.1044106
"ShiiAnn",6,"Amber",0.38380897
"ShiiAnn",6,"Jenna",0.33121172
"ShiiAnn",6,"Rob",0.13599606
"ShiiAnn",6,"Rupert",0.38499153
"ShiiAnn",6,"ShiiAnn",1.0000001
"ShiiAnn",6,"Tom",0.1044106
"Tom",6,"Alicia",0.99999994
"Tom",6,"Amber",0.106054865
"Tom",6,"Jenna",0.0793232
"Tom",6,"Rob",0.075233474
"Tom",6,"Rupert",0.10292376
"Tom",6,"ShiiAnn",0.1044106
"Tom",6,"Tom",0.99999994
