"ClipNumber","Dialogue","Speaker","Recipient","RecipientType","element_id","sentence_id"
1,"Well, last night was really emotional.","ShiiAnn","Camera","Camera",1,1
1,"Um, I got really choked up when they voted Kathy out.","ShiiAnn","Camera","Camera",1,2
1,"The smug, horrible Chaperan superior tribe pagonging all of us Mogo Mogo members, you know basically voting one after another out.","ShiiAnn","Camera","Camera",1,3
1,"I knew Kathy was going, and I just got really emotional because she was my rock out here.","ShiiAnn","Camera","Camera",1,4
1,"And she was my one true friend.","ShiiAnn","Camera","Camera",1,5
1,"And now that she's gone, I don't have anyone here.","ShiiAnn","Camera","Camera",1,6
1,"I've got no one.","ShiiAnn","Camera","Camera",1,7
1,"I know I'm slated next to go.","ShiiAnn","Rob","One Person",2,1
1,"Mh-hmm.","Rob","ShiiAnn","One Person",3,1
1,"And you know I have to play the game was hard as I can before I go.","ShiiAnn","Rob","One Person",4,1
1,"So, I'm just asking you straight up, you know, are you going to keep up with your original six, or are you going to be willing to look at other possibilities.","ShiiAnn","Rob","One Person",4,2
1,"Yeah like honestly, I'm going to stay with my plan.","Rob","ShiiAnn","One Person",5,1
1,"That's cool, you got to play your last card.","ShiiAnn","Rob","One Person",6,1
1,"Win immunity.","Rob","ShiiAnn","One Person",7,1
1,"I'm going to try to win immunity.","ShiiAnn","Rob","One Person",8,1
1,"I will.","ShiiAnn","Rob","One Person",8,2
1,"You've got to beat me, though, cause I need it just as much as you.","Rob","ShiiAnn","One Person",9,1
1,"I know I do, you know?","Rob","ShiiAnn","One Person",9,2
1,"I know you do.","ShiiAnn","Rob","One Person",10,1
1,"I'm extremely vulnerable right now and chances of me making it to the final two are slim.","ShiiAnn","Camera","Camera",11,1
1,"So, at this point, my best chances is to play as hard as I can, call everyone on their game and stir it up before I leave.","ShiiAnn","Camera","Camera",11,2
1,"If you make it to the final two, I'll be shocked.","ShiiAnn","Rob","One Person",12,1
1,"I know.","Rob","ShiiAnn","One Person",13,1
1,"With your strategy, current strategy.","ShiiAnn","Rob","One Person",14,1
1,"And I hope you do well, but, you know.","ShiiAnn","Rob","One Person",14,2
1,"I'm wishing myself luck in the next immunity challenge.","ShiiAnn","Rob","One Person",14,3
1,"She tried telling me what my strategy should be.","Rob","Tribe","Group",15,1
1,"Right.","Alicia","Rob","One Person",16,1
1,"You need to watch out for this person, you need to watch out for this one.","Rob","Tribe","Group",17,1
1,"Here we go.","Alicia","Rob","One Person",18,1
1,"She's doing that.","Rob","Tribe","Group",19,1
1,"Just with patient and listened to her.","Rob","Tribe","Group",19,2
1,"I was like ""all right, thanks for the info, ShiiAnn.""","Rob","Tribe","Group",19,3
1,"Just collectively as a group, we got to make sure she don't win immunity.","Rob","Tribe","Group",19,4
1,"Hell yeah, that's the whole goal.","Rupert","Rob","One Person",20,1
1,"That's it.","Rob","Tribe","Group",21,1
1,"Can it rain any more here?","Rob","Amber","One Person",22,1
1,"Look, there's a bump on it.","Rob","Amber","One Person",22,2
1,"Oh yeah.","Amber","Rob","One Person",23,1
1,"Wow, it's a mask.","ShiiAnn","Tribe","Group",24,1
1,"It says ""a no-lose situation, this ones not a race.","Amber","Tribe","Group",25,1
1,"Is everyone a winner?","Amber","Tribe","Group",25,2
1,"Try not to lose face.","Amber","Tribe","Group",25,3
1,"In touch with your own feelings?","Amber","Tribe","Group",25,4
1,"What do your tribe mates think?","Amber","Tribe","Group",25,5
1,"If you're the last one standing, you'll decide what they eat and drink.""","Amber","Tribe","Group",25,6
1,"So maybe you get to choose whether or not you want to share food?","ShiiAnn","Tribe","Group",26,1
1,"So maybe you choose what everybody eats?","Alicia","Tribe","Group",27,1
1,"I want everybody to eat and drink.","Rupert","Tribe","Group",28,1
1,"The rain doesn't let up.","Alicia","Camera","Camera",29,1
1,"We can't fish in these conditions.","Alicia","Camera","Camera",29,2
1,"We can't cook in these conditions.","Alicia","Camera","Camera",29,3
1,"So we are all hoping we're playing for food.","Alicia","Camera","Camera",29,4
1,"Try not to lose face, is maybe three chops and your face is smashed and you're out.","Rupert","Tribe","Group",30,1
1,"I'm hoping food or something but I'm really looking forward to it because it's just a miserable day.","Tom","Tribe","Group",31,1
1,"ooga, ga, ga, ooga, go, ga.","Tom","Tribe","Group",31,2
1,"hey- a, ho-a, ha.","Tom","Tribe","Group",31,3
1,"Dumb ass.","Rob","Tom","One Person",32,1
1,"Rain ponchos coming in handy.","Probst","Tribe","Group",33,1
1,"Amber and I are the same person just slightly different hair.","Jenna","Tribe","Group",34,1
1,"Look at me.","Alicia","Tribe","Group",35,1
1,"I have a very strange expression on our faces.","ShiiAnn","Tribe","Group",36,1
1,"All right, let's get to the first part of today's reward challenge.","Probst","Tribe","Group",37,1
1,"I'm gonna hand each of you a questionnaire about your fellow tribe mates.","Probst","Tribe","Group",37,2
1,"The idea here is to find out what you really think about each other.","Probst","Tribe","Group",37,3
1,"So answer honestly.","Probst","Tribe","Group",37,4
1,"Don't discuss your answers with anybody.","Probst","Tribe","Group",37,5
1,"Make sense?","Probst","Tribe","Group",37,6
1,"All right, give you a couple minutes to do this.","Probst","Tribe","Group",37,7
1,"Find a little spot, step away from each other.","Probst","Tribe","Group",37,8
1,"All right guys.","Probst","Tribe","Group",37,9
1,"The results have been tallied.","Probst","Tribe","Group",37,10
1,"I'm going to ask you the same exact questions again, only this time your answers should be based on how you think the majority of the tribe answered.","Probst","Tribe","Group",37,11
1,"Every time your answer matches what the tribe said, you get to make one chop on a tribe mate's row.","Probst","Tribe","Group",37,12
1,"Three chops release a battering ram and you're out of the game.","Probst","Tribe","Group",37,13
1,"Last person left standing wins reward.","Probst","Tribe","Group",37,14
1,"The reward is food.","Probst","Tribe","Group",37,15
1,"However, all of you will be picked up by boat and taken to a local Panamanian restaurant.","Probst","Tribe","Group",37,16
1,"On the menu are seven items.","Probst","Tribe","Group",37,17
1,"Wow.","Amber","Tribe","Group",38,1
1,"Each item increases in value and taste, everything from a bowl of rice and a glass of water from your own camp to a full-on steak dinner with all the fixings.","Probst","Tribe","Group",39,1
1,"The winner will be in charge of that menu.","Probst","Tribe","Group",39,2
1,"Oh, my God!","Amber","Tribe","Group",40,1
1,"Here's the rub: You cannot share your meal.","Probst","Tribe","Group",41,1
1,"Somebody will get a whole lot, and somebody is gonna get very little.","Probst","Tribe","Group",41,2
1,"All right, let's get started.","Probst","Tribe","Group",41,3
1,"First question: who would you trust with your life?","Probst","Tribe","Group",41,4
1,"Everybody reveal.","Probst","Tribe","Group",41,5
1,"The group thought Rob.","Probst","Tribe","Group",41,6
1,"Alicia got it right.","Probst","Tribe","Group",41,7
1,"Amber got it right.","Probst","Tribe","Group",41,8
1,"Rob, you didn't even get it right.","Probst","Tribe","Group",41,9
1,"Alicia you get the first chop.","Probst","Tribe","Group",41,10
1,"Alicia, you get the first chop.","Probst","Alicia","One Person",42,1
1,"Oh, ShiiAnn, ShiiAnn.","Alicia","Tribe","Group",43,1
1,"Surprise.","ShiiAnn","Tribe","Group",44,1
1,"Amber, you're up.","Probst","Amber","One Person",45,1
1,"Who's getting the damage?","Probst","Amber","One Person",45,2
1,"I'm going to go for Big Tom since he stole my pot in that one challenge.","Amber","Tribe","Group",46,1
1,"Now we're going to get catty.","Probst","Tribe","Group",47,1
1,"Who does not deserve to be an all-star?","Probst","Tribe","Group",47,2
1,"Not an easy question to answer in front of each other.","Probst","Tribe","Group",47,3
1,"Reveal.","Probst","Tribe","Group",47,4
1,"It was a tie.","Probst","Tribe","Group",47,5
1,"ShiiAnn.","Probst","Tribe","Group",47,6
1,"Surprise.","ShiiAnn","Probst","One Person",48,1
1,"Alicia.","Probst","Tribe","Group",49,1
1,"Nice.","Alicia","Probst","One Person",50,1
1,"Hearing that from the rest of the tribe, what's that make you feel?","Probst","Alicia","One Person",51,1
1,"Yeah, it's a shot in the heart.","Alicia","Probst","One Person",52,1
1,"I'll get them all later.","Alicia","Probst","One Person",52,2
1,"Well, everybody got it right.","Probst","Tribe","Group",53,1
1,"Everybody gets a chop.","Probst","Tribe","Group",53,2
1,"We'll start on the end and work down.","Probst","Tribe","Group",53,3
1,"Well, since my own tribe mates think I don't deserve to be here, Rob, you're going first.","Alicia","Tribe","Group",54,1
1,"Rob takes a hit.","Probst","Tribe","Group",55,1
1,"How do you like that baby?","Alicia","Rob","One Person",56,1
1,"Jenna?","Probst","Jenna","One Person",57,1
1,"I'm going to go with Big Tom.","Jenna","Tribe","Group",58,1
1,"Big Tom takes his second hit.","Probst","Tribe","Group",59,1
1,"One hit away from being out of the game.","Probst","Tribe","Group",59,2
1,"ShiiAnn.","Probst","Tribe","Group",59,3
1,"ShiiAnn.","Probst","ShiiAnn","One Person",60,1
1,"Hey Alicia I got to pay you back.","ShiiAnn","Tribe","Group",61,1
1,"All right.","Alicia","ShiiAnn","One Person",62,1
1,"Amber.","Probst","Amber","One Person",63,1
1,"I'll go with Jenna.","Amber","Tribe","Group",64,1
1,"Jenna takes her first hit.","Probst","Tribe","Group",65,1
1,"Rupert.","Probst","Rupert","One Person",66,1
1,"I'm sorry ShiiAnn.","Rupert","Tribe","Group",67,1
1,"ShiiAnn and Big Tom one hit away from being out of the game.","Probst","Tribe","Group",68,1
2,"Big Tom.","Probst","Tom","One Person",69,1
2,"Jenna, I'll just pay you a favor.","Tom","Jenna","One Person",70,1
2,"Right back to you, baby.","Tom","Jenna","One Person",70,2
2,"Jenna takes her second hit.","Probst","Tribe","Group",71,1
2,"Boston Rob, you could put somebody out of the game if you wanted.","Probst","Rob","One Person",72,1
2,"Rupert hasn't gotten hit yet.","ShiiAnn","Rob","One Person",73,1
2,"Big Tom is our first casualty!","Probst","Tribe","Group",74,1
2,"That's rotten.","Alicia","Tribe","Group",75,1
2,"Have a seat on the bench, Big Tom.","Probst","Tom","One Person",76,1
2,"You're out of the game.","Probst","Tom","One Person",76,2
2,"Next question: ""Who uses sex appeal as a weapon?""","Probst","Tribe","Group",77,1
2,"Nobody even hesitating on this one; everybody's flipping quickly.","Probst","Tribe","Group",77,2
2,"Reveal.","Probst","Tribe","Group",77,3
2,"Everybody says Amber including Amber.","Probst","Tribe","Group",77,4
2,"So you fully own up to using sex appeal.","Probst","Amber","One Person",78,1
2,"I fully own up to it.","Amber","Probst","One Person",79,1
2,"Everybody gets a chop again.","Probst","Tribe","Group",80,1
2,"Alicia, you're up.","Probst","Alicia","",81,1
2,"Amber, since you're going to use it as a weapon, how about.","Alicia","Amber","One Person",82,1
2,"Amber going to take her first hit.","Probst","Tribe","",83,1
2,"Jenna.","Probst","Jenna","",84,1
2,"And payback.","Jenna","Tribe","A Group",85,1
2,"Amber takes her second hit.","Probst","Tribe","",86,1
2,"ShiiAnn, you going to put her out?","Probst","ShiiAnn","",87,1
2,"This is hard.","ShiiAnn","Tribe","A Group",88,1
2,"Rupert doesn't have one, but","ShiiAnn","Tribe","A Group",88,2
2,"Jenna, I have to take you out just because.","ShiiAnn","Jenna","One Person",89,1
2,"And with that, Jenna was completely beheaded.","Probst","Tribe","",90,1
2,"Amber's got some payback.","Probst","Tribe","",90,2
2,"Sorry, Alicia.","Amber","Alicia","One Person",91,1
2,"Hey, it's all right.","Alicia","Amber","One Person",92,1
2,"Alicia takes her second hit.","Probst","Tribe","",93,1
2,"Rupert, why are you laughing?","Probst","Rupert","",94,1
2,"ShiiAnn, she's got to stop telling people to hit me.","Rupert","Probst","A Group",95,1
2,"Uh oh.","Probst","Rupert","",96,1
2,"ShiiAnn takes it right between the eyes.","Probst","Tribe","",97,1
2,"Boston Rob.","Probst","Rob","",98,1
2,"No need in keeping the stragglers around.","Rob","Tribe","A Group",99,1
2,"All right, go ahead.","Alicia","Rob","One Person",100,1
2,"Bye bye Alicia.","Probst","Alicia","",101,1
2,"We are down to three.","Probst","Tribe","",102,1
2,"Who is under the false assumption that they are smart?","Probst","Tribe","",102,2
2,"Reveal.","Probst","Tribe","",102,3
2,"Amber says Tom.","Probst","Tribe","",102,4
2,"Rupert says himself.","Probst","Tribe","",102,5
2,"Boston Rob says Jenna.","Probst","Tribe","",102,6
2,"You're all wrong.","Probst","Tribe","",102,7
2,"The group thought Alicia was most under the false assumption that she was smart.","Probst","Tribe","",102,8
2,"I don't like these people anymore, let me tell you something.","Alicia","Probst","A Group",103,1
2,"You're taking some hits today.","Probst","Alicia","",104,1
2,"I'm taking some hits today that's alright.","Alicia","Probst","A Group",105,1
2,"Next question.","Probst","Tribe","",106,1
2,"Who did the group think was the most honest?","Probst","Tribe","",106,2
2,"Reveal.","Probst","Tribe","",106,3
2,"Amber and Rupert say Rupert.","Probst","Tribe","",106,4
2,"Rob said himself.","Probst","Tribe","",106,5
2,"Correct answer, Rupert.","Probst","Tribe","",106,6
2,"Amber and Rupert are right.","Probst","Tribe","",106,7
2,"Amber, you are up.","Probst","Amber","",107,1
2,"You only have two choices.","Probst","Amber","",107,2
2,"Boston Rob has taken one hit, Rupert has taken no hits.","Probst","Amber","",107,3
2,"Sorry, Rob.","Jenna","Rob","A Group",108,1
2,"Rob down to his last pop.","Probst","Tribe","",109,1
2,"Rupert could put him out of the game right here.","Probst","Tribe","",109,2
2,"I have to.","Rupert","Probst","A Group",110,1
2,"You could put her out.","Rob","Rupert","One Person",111,1
2,"I could but Amber didn't hit me.","Rupert","Rob","One Person",112,1
2,"Boston Rob is no more.","Probst","Tribe","",113,1
2,"Boston Rob, have a seat.","Probst","Rob","",114,1
2,"Here's where we're at.","Probst","Tribe","",115,1
2,"Rupert, you still have three hits left.","Probst","Rupert","",116,1
2,"Amber, you only have one.","Probst","Amber","",117,1
2,"If Rupert gets this right, he will obliterate you and win the challenge.","Probst","Amber","",117,2
2,"Who never shut's up?","Probst","Tribe","",118,1
2,"Reveal.","Probst","Tribe","",118,2
2,"You both say Jenna.","Probst","Tribe","",118,3
2,"Yeah.","Jenna","Tribe","",119,1
2,"You're both right.","Probst","Tribe","",120,1
2,"Amber, your hit doesn't really matter.","Probst","Amber","",121,1
2,"Rupert, you get the final honors.","Probst","Rupert","",122,1
2,"Take Amber out.","Probst","Rupert","",122,2
2,"Nice job, Rupert.","Alicia","Rupert","One Person",123,1
2,"Thank you all, you guys.","Rupert","Tribe","A Group",124,1
2,"Rupert, with that, wins reward.","Probst","Tribe","",125,1
2,"Rupert, you will be in charge of the menu tonight.","Probst","Rupert","",126,1
2,"The boat will come and pick you up.","Probst","Tribe","",127,1
2,"You guys can now head back to camp.","Probst","Tribe","",127,2
2,"You guys gave that one to me.","Rupert","Tribe","A Group",128,1
2,"I appreciate that one.","Rupert","Tribe","A Group",128,2
2,"Thank you, guys.","Rupert","Tribe","A Group",128,3
2,"That was awesome.","ShiiAnn","Rupert","One Person",129,1
2,"I think the biggest thing that happened at our reward challenge today was Alicia got all upset again.","Rob","Camera","",130,1
2,"She was mocked by the tribe as the person least deserving to be an all-star.","Rob","Camera","",130,2
2,"Her ego took a blow, but you know, people say things for a reason, so maybe she needs to take a look at herself.","Rob","Camera","",130,3
2,"I thought they were pretty good.","Rob","Tribe","A Group",131,1
2,"The, uh...","Rob","Tribe","A Group",131,2
2,"the masks, too.","Rob","Tribe","A Group",131,3
2,"I thought the masks were pretty good.","Rupert","Tribe","A Group",132,1
2,"You know it's never fun to hear things about yourself that aren't flattering, and then have to...","Alicia","Camera","",133,1
2,"the same people that said those things, you're stuck with them.","Alicia","Camera","",133,2
2,"That's not fun.","Alicia","Camera","",133,3
2,"It would be nice to get out of camp tonight.","Jenna","Tribe","",134,1
2,"Alicia, you okay?","Jenna","Alicia","One Person",135,1
2,"I'm fabulous, baby.","Alicia","Jenna","One Person",136,1
2,"Okay, If it helps I'm a big mouth.","Jenna","Alicia","One Person",137,1
2,"Yeah, but did everybody say that you don't deserve to be here and that you definitely think you're smart and you're not.","Alicia","Jenna","One Person",138,1
2,"Did people say that about you?","Alicia","Jenna","One Person",138,2
2,"Let's say there's only seven.","Jenna","Alicia","One Person",139,1
2,"Let's say.","Jenna","Alicia","One Person",139,2
2,"It doesn't matter, dude.","Alicia","Jenna","One Person",140,1
2,"It's already been said.","Alicia","Jenna","One Person",140,2
2,"Done.","Alicia","Jenna","One Person",140,3
2,"Alicia's very emotional.","Amber","Camera","",141,1
2,"And when something upsets her, she becomes a huge grump around the camp.","Amber","Camera","",141,2
2,"She's just being a big baby about it.","Amber","Camera","",141,3
2,"People are observing it.","Amber","Camera","",141,4
2,"People are getting annoyed with it.","Amber","Camera","",141,5
2,"People will vote you out sooner because they don't want to live with it.","Amber","Camera","",141,6
2,"Don't, don't, don't, don't.","Alicia","Jenna","One Person",142,1
2,"I know you don't want somebody to talk to you, but I'm a mom, its my job.","Jenna","Alicia","One Person",143,1
2,"Yeah, but you know what?","Alicia","Jenna","One Person",144,1
2,"You're not my mom, so it's all good.","Alicia","Jenna","One Person",144,2
2,"But you're hurt.","Alicia","Jenna","One Person",145,1
2,"Well, you know what?","Jenna","Alicia","One Person",146,1
2,"That's just the way it goes.","Jenna","Alicia","One Person",146,2
2,"I don't want anybody hugging me or touching me or trying to ...","Alicia","Camera","",147,1
2,"Leave me alone.","Alicia","Camera","",147,2
2,"The only person that tried to not give me my space was Jenna.","Alicia","Camera","",147,3
2,"Jenna's trying to put her arm around me.","Alicia","Camera","",147,4
2,"Give me a break.","Alicia","Camera","",147,5
2,"Jenna and I have no connection at all.","Alicia","Camera","",147,6
2,"I mean, she's probably one of the people that voted that way anyway.","Alicia","Camera","",147,7
2,"So she needs to save it.","Alicia","Camera","",147,8
2,"Jenna would be the last person that I would go to for consoling, the last person.","Alicia","Camera","",147,9
2,"Listen, I know you got a really big decision, and I know you're the most generous person out here, probably.","Jenna","Rupert","One Person",148,1
2,"And just know that we understand where your position is.","Jenna","Rupert","One Person",148,2
2,"But I'd like to have the choice is all I'm asking.","Jenna","Rupert","One Person",148,3
2,"Okay.","Rupert","Jenna","One Person",149,1
2,"That's a great idea.","Rupert","Jenna","One Person",149,2
2,"Like if you said, ""This is my decision for the order,"" and then just give us choices.","Jenna","Rupert","One Person",150,1
2,"That's a great idea.","Rupert","Jenna","One Person",151,1
2,"You know, that's almost a challenge I wish I didn't win.","Rupert","Camera","",152,1
2,"This is what killed me on Pearl Islands was, I let the pecking order be known and then I was the next one gone.","Rupert","Camera","",152,2
2,"But don't be a martyr and be like, ""I'm going to take the smallest one and put everyone else above me 'cause you need to be strong, too, okay?","Jenna","Rupert","One Person",153,1
2,"I just don't think you should give away your big one.","Jenna","Rupert","One Person",153,2
2,"I love Rupert, but strategy-wise he is...","Jenna","Camera","",154,1
2,"I don't want to say not good at the game, he is, but he needs some coaching.","Jenna","Camera","",154,2
2,"Seven of us.","Rupert","Jenna","One Person",155,1
2,"I do say ShiiAnn gets the rice.","Jenna","Rupert","One Person",156,1
2,"ShiiAnn gets the rice.","Rupert","Jenna","One Person",157,1
2,"But I think we keep ourselves strong, us four.","Jenna","Rupert","One Person",158,1
2,"We have the numbers.","Jenna","Rupert","One Person",158,2
2,"They can't hurt us.","Rupert","Jenna","One Person",159,1
2,"No, they can't.","Jenna","Rupert","One Person",160,1
2,"This adventure is geared to create hard feelings between people.","Rupert","Camera","",161,1
3,"I hate being that person that creates the hard feelings.","Rupert","Camera","",162,1
3,"Come on in guys!","Probst","Tribe","",163,1
3,"Welcome to the Romantica Restaurant.","Probst","Tribe","",163,2
3,"Thank you.","Rupert","Probst","",164,1
3,"Rupert, you're at the head of the table.","Probst","Rupert","",165,1
3,"Cool.","Rupert","Probst","",166,1
3,"Everybody else head in this way and take a seat.","Probst","Tribe","",167,1
3,"So, Rupert, it's your reward.","Probst","Rupert","",168,1
3,"Good news is, you get your first choice of anything here you want.","Probst","Rupert","",168,2
3,"We got a big piece of steak, shrimp, all the fixings.","Probst","Rupert","",168,3
3,"The bad news is, you have to allocate the rest and somebody's going to end up with a very cold bowl of rice and water from your own camp.","Probst","Rupert","",168,4
3,"So, let me go over the rest of your choices.","Probst","Rupert","",168,5
3,"We have potatoes with tap water.","Probst","Rupert","",168,6
3,"Then we have a salad with tap water that's been chilled.","Probst","Rupert","",168,7
3,"And we have a ham and cheese sandwich with some sparkling water and a little bit of lemon.","Probst","Rupert","",168,8
3,"We also have a hot dog, sauerkraut, and orange juice.","Probst","Rupert","",168,9
3,"Then we have a big cheeseburger and French fry plate.","Probst","Rupert","",168,10
3,"So, you can start with yourself.","Probst","Rupert","",168,11
3,"You can start anywhere you want.","Probst","Rupert","",168,12
3,"I'm going to start with me and I'm taking the steak.","Rupert","Probst","A Group",169,1
3,"All right.","Probst","Rupert","",170,1
3,"Thank you sir.","Rupert","Probst","A Group",171,1
3,"Along with the steak, open bar, for you only.","Probst","Rupert","",172,1
3,"You just tell him what you want to drink and he'll keep refilling it.","Probst","Rupert","",172,2
3,"We'll start with a cerveza.","Rupert","Server","",173,1
3,"All right.","Probst","Rupert","",174,1
3,"Rupert's starting with a beer.","Probst","Tribe","",175,1
3,"So, this is on you.","Probst","Tribe","",175,2
3,"It's your menu.","Probst","Tribe","",175,3
3,"You're going to distribute it.","Probst","Tribe","",175,4
3,"I would like Rob to choose next.","Rupert","Tribe","",176,1
3,"I'll have the burger, please.","Rob","Tribe","A Group",177,1
3,"One ice-cold cola and the burger.","Probst","Rob","",178,1
3,"I'd like Jenna to choose next.","Rupert","Tribe","A Group",179,1
3,"Hot dog and orange juice.","Jenna","Tribe","A Group",180,1
3,"Going right down the line.","Probst","Rupert","",181,1
3,"Orange juice.","Probst","Jenna","",182,1
3,"I would like Amber to choose next.","Rupert","Tribe","A Group",183,1
3,"I'll have the sandwich.","Amber","Tribe","A Group",184,1
3,"Ham and cheese sandwich, sparkling water.","Probst","Amber","",185,1
3,"All right, Rupert, three items left.","Probst","Rupert","",186,1
3,"Alicia?","Rupert","Alicia","A Group",187,1
3,"I would love the salad.","Alicia","Tribe","A Group",188,1
3,"Salad and cold water.","Probst","Alicia","",189,1
3,"Thank you.","Alicia","Probst","",190,1
3,"I probably would have chose that.","Alicia","Tribe","A Group",191,1
3,"Good.","Rupert","Alicia","",192,1
3,"Very good.","Rupert","Alicia","",192,2
3,"That worked out.","Probst","Alicia","",193,1
3,"That worked out perfectly for me!","Alicia","Probst","",194,1
3,"Big Tom, what do you want?","Rupert","Tom","One Person",195,1
3,"Big Tom picks next.","Probst","Tribe","",196,1
3,"Whatever, what is that?","Tom","Probst","A Group",197,1
3,"I'll eat some potatoes.","Tom","Probst","A Group",197,2
3,"Potatoes, yeah.","Tom","Probst","A Group",197,3
3,"Potatoes?","Probst","Tom","",198,1
3,"Leave the Asian girl with the rice.","ShiiAnn","Tribe","A Group",199,1
3,"Yeah.","Rupert","ShiiAnn","",200,1
3,"We went to one of the fanciest restaurants.","Tom","Camera","",201,1
3,"They said it was five-star.","Tom","Camera","",201,2
3,"Please don't stab me.","Rupert","Tom","One Person",202,1
3,"But I wouldn't hit a dog in the hind end with it 'cause I got a tater and it was cold.","Tom","Camera","",203,1
3,"ShiiAnn, our camp.","Rupert","ShiiAnn","",204,1
3,"Camp water and cold rice.","Probst","ShiiAnn","",205,1
3,"I hope it's boiled, both the rice and the camp water.","ShiiAnn","Tribe","A Group",206,1
3,"A little bit of an awkward dinner, but it's a dinner nonetheless.","Probst","Tribe","",207,1
3,"Thank god.","Alicia","Tribe","",208,1
3,"You're warm for a little while.","Probst","Tribe","",209,1
3,"I'll get out of your hair.","Probst","Tribe","",209,2
3,"Bon appetit.","Probst","Tribe","",209,3
3,"Thank you, Jeff.","Rupert","Probst","",210,1
3,"This camp water tastes better out here because of the romantic lighting.","ShiiAnn","Rupert","One Person",211,1
3,"Good.","Rupert","ShiiAnn","One Person",212,1
3,"You saw the people that ended up with fifth, sixth, and seventh weren't too happy about the politics that were involved, but hey, what can you do about that?","Rob","Camera","",213,1
3,"You win some, you lose some.","Rob","Camera","",213,2
3,"Those fries look so good.","ShiiAnn","Rob","One Person",214,1
3,"Thank you, sir.","Rupert","Server","",215,1
3,"I'm chewing my rice and thinking that I'm eating that piece of steak that Rupert's holding in his hands.","ShiiAnn","Tribe","A Group",216,1
3,"I can't even look up at you guys.","Rupert","Tribe","A Group",217,1
3,"Don't look up.","ShiiAnn","Rupert","One Person",218,1
3,"Just eat.","ShiiAnn","Rupert","One Person",218,2
3,"Yeah you don't need to look at us.","Jenna","Rupert","",219,1
3,"ShiiAnn's an absolutely obnoxious person.","Jenna","Camera","",220,1
3,"The whole time she's like, ""this rice is good.","Jenna","Camera","",220,2
3,"Oh, my gosh, ooh, look at that steak, I just want to watch you eat it.""","Jenna","Camera","",220,3
3,"If only I could have a piece of that steak.","ShiiAnn","Rupert","One Person",221,1
3,"I wish I could give you guys all some.","Rupert","ShiiAnn","A Group",222,1
3,"I know.","ShiiAnn","Rupert","One Person",223,1
3,"Shut up!","Jenna","Camera","",224,1
3,"It's obnoxious!","Jenna","Camera","",224,2
3,"Thank you, sir.","Rupert","Server","",225,1
3,"Big Tom.","Rupert","Tom","One Person",226,1
3,"I'm drinking this for you.","Rupert","Tom","One Person",226,2
3,"So the dinner was nice.","Alicia","Camera","",227,1
3,"And Rupert, of course, had eight or nine beers and he was plastered.","Alicia","Camera","",227,2
3,"Plastered!","Alicia","Camera","",227,3
3,"Thank you, sir.","Rupert","Server","",228,1
3,"Smell your napkin.","Jenna","Tribe","A Group",229,1
3,"It's so nice and soft.","Amber","Tribe","A Group",230,1
3,"I'm taking- We're taking advantage of this.","Amber","Tribe","A Group",230,2
3,"Good.","Rupert","Amber","A Group",231,1
3,"Rupert keep drinking.","Rob","Rupert","One Person",232,1
3,"Okay.","Rupert","Rob","One Person",233,1
3,"We really wanted to stay at the restaurant for as long as we possibly could, 'cause we just dreaded coming back here with all the bugs and the really long night.","Amber","Camera","",234,1
3,"So we told Rupert, ""Keep drinking as much as you want.""","Amber","Camera","",234,2
